locationId,id,typeOfProvider,providerName,address,suburb,state,postcode,lat,lng,geoData
122,1-VTEB9L,Long Day Care,Happy Days Childcare Macarthur Square,LG01/01 Menangle Road,MACARTHUR SQUARE,NSW,2560,-34.073849,150.800232,0xE6100000010CEF384547720941C09A99999999D96240
123,1-1DK5KD,Long Day Care,Maryland Drive Preschool,179 Maryland Dr,MARYLAND,NSW,2287,-32.87526,151.66081,0xE6100000010C2B1895D4097040C0FED478E926F56240
124,1-1DPBON,Long Day Care,Young Stepping Stones Early Learing Centre,58 Thornhill St,YOUNG,NSW,2594,-34.31724,148.28877,0xE6100000010C462575029A2841C06891ED7C3F896240
125,1-3N5DRM,Long Day Care,The Learning Jungle Long Day Care And Preschool,137-139 Victoria Street,WERRINGTON,NSW,2747,-33.75611,150.72809,0xE6100000010CB84082E2C7E040C09EEFA7C64BD76240
126,1-1EK0T3,Long Day Care,Jiminey Cricket Child Care Centre,110 McFarlane Dr,MINCHINBURY,NSW,2770,-33.78709,150.82425,0xE6100000010C3F575BB1BFE440C0EE7C3F355EDA6240
127,1-1EOHAB,Long Day Care,Crestwood Preschool Kindergarten,44 Kalimna Dr,BAULKHAM HILLS,NSW,2153,-33.74924,150.97477,0xE6100000010CE4141DC9E5DF40C03333333333DF6240
128,1-1EQN4A,Long Day Care,Samaritans Early Learning Centre Woodberry,11 Lawson Ave,BERESFIELD,NSW,2322,-32.79953,151.65949,0xE6100000010C75931804566640C00C022B8716F56240
129,1-1G7CH3,Long Day Care,Riverina Child Care Centre,42 Noorebar Street,GRIFFITH,NSW,2680,-34.28278647,146.0456792,0xE6100000010C87A757CA322441C0B6F3FDD478416240
130,1-1G95ZZ,Long Day Care,Waratah Early Learning Centre,52-54 Farrell Road,ORANGE,NSW,2800,-33.25419,149.10348,0xE6100000010C545227A089A040C09EEFA7C64BA36240
131,1-K1DHLI,Long Day Care,Headstart Early Learning Centre - Clarendon,208 Hawkesbury Valley Way,CLARENDON,NSW,2756,-33.60983,150.79332,0xE6100000010CE78C28ED0DCE40C04C37894160D96240
132,1-1HFUV3,Long Day Care,Green Gables Kindergarten,48 Griffiths St,SANS SOUCI,NSW,2219,-33.99526,151.13464,0xE6100000010CBADA8AFD65FF40C0B81E85EB51E46240
